公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,最低年限,经验,最低工资,月最低工资
易玩（上海）网络科技有限公司,TapTap,50-150人,A轮,闸北区,大数据平台工程师,3-5年,本科,25k-40k,"知名团队,氛围好,福利好,技术导向","['3', '5']",3,"['25', '40']",25
上海联栈信息科技有限公司,unistack,15-50人,A轮,长宁区,大数据开发工程师,5-10年,本科,15K-30K,年终多假期多福利多，氛围好，空间大,"['5', '10']",5,"['15', '30']",15
中泰证券股份有限公司,中泰证券,500-2000人,上市公司,浦东新区,大数据研发工程师,3-5年,本科,30k-50k,大型综合类券商，有挑战的薪酬和福利,"['3', '5']",3,"['30', '50']",30
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,大数据开发-资深Hadoop,5-10年,本科,25k-40k,"年终奖,六险一金,互联网","['5', '10']",5,"['25', '40']",25
国金证券股份有限公司,国金证券,2000人以上,上市公司,浦东新区,国金涌富-大数据开发工程师,3-5年,硕士,30k-35k,金融科技,"['3', '5']",3,"['30', '35']",30
上海宏路数据技术股份有限公司,Hypers,50-150人,上市公司,,高级大数据工程师,3-5年,本科,20k-35k,技术氛围好，发展空间巨大,"['3', '5']",3,"['20', '35']",20
汇中普惠财富投资管理（北京）有限公司,汇中财富,2000人以上,不需要融资,徐汇区,大数据开发工程师--上海办公,3-5年,本科,15k-25k,"大型平台,朝阳行业,优秀的项目,专业的团队","['3', '5']",3,"['15', '25']",15
昆山和君纵达数据科技有限公司,和君纵达,2000人以上,不需要融资,闵行区,大数据开发工程师,3-5年,本科,20k-35k,"大咖团队,技术前沿,团队年轻","['3', '5']",3,"['20', '35']",20
沃时派客（上海）包装科技有限公司,Worthpack,15-50人,未融资,长宁区,大数据开发工程师,不限,本科,15k-25k,"五险一金,免费午餐,技术牛人多,不加班",[],0,"['15', '25']",15
北京美至网络科技有限公司,美至科技,50-150人,天使轮,长宁区,大数据工程师(职位编号:SH2018016002),3-5年,本科,25k-30k,"发展空间大,学习机会多,大牛同僚,扁平管理","['3', '5']",3,"['25', '30']",25
上海秦苍信息科技有限公司,买单侠,500-2000人,C轮,浦东新区,大数据工程师,1-3年,本科,15k-25k,"扁平化管理,技术大牛","['1', '3']",1,"['15', '25']",15
北京九章云极科技有限公司,九章云极科技,150-500人,B轮,长宁区,大数据运维工程师,3-5年,本科,15K-25K,技术大牛  技术驱动 Geek氛围,"['3', '5']",3,"['15', '25']",15
上海卓越睿新数码科技有限公司,智慧树网,500-2000人,B轮,徐汇区,大数据开发,3-5年,硕士,15k-30k,"新业务,空间大,机会多","['3', '5']",3,"['15', '30']",15
上海创蓝文化传播有限公司,上海创蓝文化传播有限公司,150-500人,未融资,松江区,大数据工程师,5-10年,本科,20k-30k,"五险一金,年底双薪,环境高大上,福利多又多","['5', '10']",5,"['20', '30']",20
上海维跃信息科技有限公司,善诊,50-150人,B轮,浦东新区,大数据专家,5-10年,本科,45k-60k,"重视人才,发展空间大,业务上升期,高薪","['5', '10']",5,"['45', '60']",45
深圳市博奥特科技有限公司,博奥特科技,150-500人,未融资,浦东新区,（中高级）大数据开发工程师,3-5年,本科,15k-18k,"平台大,五险一金,节日福利,弹性工作","['3', '5']",3,"['15', '18']",15
上海享骑电动车服务有限公司,享骑出行,150-500人,未融资,闵行区,大数据工程师-平台负责人,5-10年,大专,15k-30k,"发展前景好,成长空间大","['5', '10']",5,"['15', '30']",15
圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,高级大数据开发工程师,3-5年,本科,15k-30k,上市公司，前景好，氛围好，待遇好,"['3', '5']",3,"['15', '30']",15
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,长宁区,大数据开发工程师,5-10年,本科,30k-40k,互联网平台，扁平化管理,"['5', '10']",5,"['30', '40']",30
上海即果信息技术有限公司,即刻,50-150人,C轮,杨浦区,中高级大数据工程师,3-5年,本科,20k-40k,"产品有潜力,技术导向,技术氛围浓,福利超多","['3', '5']",3,"['20', '40']",20
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,大数据开发-底层组件,3-5年,本科,15k-30k,"互联网,上市公司,二次元","['3', '5']",3,"['15', '30']",15
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,浦东新区,大数据开发工程师,1-3年,本科,15k-25k,发展潜力大 福利多多,"['1', '3']",1,"['15', '25']",15
