公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
玖富金科控股集团有限责任公司,玖富集团,2000人以上,C轮,朝阳区,图像识别算法工程师,1-3年,硕士,10k-20k,"商业保险,周末双休"
北京荣之联科技股份有限公司,荣之联,500-2000人,上市公司,朝阳区,NLP算法工程师（有落户机会）,1年以下,硕士,10k-20k,"团队牛,技术好,机会多"
北京盒子鱼教育科技有限公司,盒子鱼英语,150-500人,C轮,海淀区,图像处理算法,1年以下,硕士,6K-12K,五险一金，美女多，扁平化管理，地铁周边
上海任意门科技有限公司,Soul App,50-150人,B轮,东城区,推荐算法实习生,应届毕业生,硕士,10k-15k,"高薪资,上升空间,核心业务,快速发展"
同方知网（北京）技术有限公司,知网,2000人以上,上市公司,海淀区,深度学习算法工程师,不限,硕士,12k-24k,未来是人工智能的世界，我们一起建造新世界
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,【校招】深度学习算法工程师,应届毕业生,硕士,12k-24k,"完善的福利,竞争力薪酬,技术氛围好,上升空间大"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,智能制造MES算法工程师,应届毕业生,硕士,8k-15k,"五险一金,带薪年假,定期体检,员工旅游"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师,1-3年,硕士,15k-30k,业界领先
北京航天数据股份有限公司,航天数据,150-500人,不需要融资,海淀区,算法工程师,1-3年,硕士,20k-35k,"央企,七险一金,年底双薪,节日福利"
合肥芯福传感器技术有限公司北京分公司,芯福,50-150人,不需要融资,海淀区,算法工程师,3-5年,硕士,15k-30k,"团队稳定,团建、旅游,体检"
北京捷越联合信息咨询有限公司,北京捷越联合,2000人以上,不需要融资,东城区,高级算法工程师,1-3年,硕士,15k-25k,"六险一金,带薪年假,周末双休,弹性上班"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,硕士,20k-40k,"知名大厂,技术氛围浓,技术大牛多,技术成长快"
北京经舆典网络科技有限公司,经舆典,50-150人,不需要融资,东城区,高级算法工程师,不限,硕士,20k-40k,"算法,nlp,机器学习,图像识别"
北京比特大陆科技有限公司,比特大陆,150-500人,不需要融资,海淀区,AI算法工程师,1-3年,硕士,20k-40k,高奖金
北京大视景科技有限公司,大视景,15-50人,不需要融资,海淀区,算法工程师,不限,硕士,15k-30k,"七险一金,年底双薪,福利多多,工作氛围好"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法,3-5年,硕士,20k-40k,"薪资福利,核心业务,成长空间"
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,输入法算法工程师（IME),1-3年,硕士,20k-40k,公司氛围好 技术大拿多 项目奖金
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,算法交易工程师,1-3年,硕士,15k-25k,"超牛团队,扁平管理,优厚待遇,成长空间"
爱国者电子科技有限公司,爱国者电子,150-500人,不需要融资,海淀区,算法工程师（运动控制）,3-5年,硕士,15k-30k,"可穿戴,空间,项目自主,产品全周期"
北京清华同衡规划设计研究院有限公司,清华同衡,500-2000人,不需要融资,海淀区,模型算法工程师,1-3年,硕士,15k-25k,"清华国企,福利待遇好,发挥空间大,高层重视"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,海淀区,运筹优化算法工程师,不限,博士,20K-40K,"弹性工作,扁平管理"
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,语言模型训练算法工程师,1-3年,硕士,20k-40k,福利待遇好，有发展前景，半年调薪
