公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,通州区,大数据工程师,3-5年,本科,15k-30k,京东
慧安金科（北京）科技有限公司,慧安金科,50-150人,A轮,海淀区,大数据工程师,3-5年,硕士,20k-40k,"六险一金,弹性工作,零食供应,免费早中餐"
北京捷越联合信息咨询有限公司,北京捷越联合,2000人以上,不需要融资,东城区,大数据开发工程师,3-5年,大专,15k-30k,六险一金地铁周边
华风象辑（北京）气象科技有限公司,象辑科技,50-150人,B轮,海淀区,大数据开发工程师,3-5年,本科,15k-25k,"扁平化管理,13薪,福利好,晋升空间大"
秒针信息技术有限公司,秒针系统,500-2000人,D轮及以上,朝阳区,大数据开发工程师,3-5年,本科,25k-35k,"大牛多,学习型组织,技术创新"
武汉然诺管理咨询有限公司,RulerTech然诺,15-50人,天使轮,朝阳区,大数据研发工程师,3-5年,本科,20k-40k,"AI,薪酬丰厚,团队大牛"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,大数据工程师【大数据研发部】,5-10年,本科,30k-60k,"班车,加班餐,餐补,500强"
北京智能管家科技有限公司,roobo,150-500人,B轮,东城区,大数据研发工程师,3-5年,本科,25k-35k,团队nice、弹性工作、期权奖励
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,大数据开发工程师,3-5年,本科,20k-35k,"优秀团队,百亿级数据"
北京麒麟合盛科技有限公司,APUS Group,150-500人,B轮,朝阳区,大数据开发工程师,5-10年,本科,25k-45k,晋升机会、培训机会、扁平管理、团建丰富
北京默契破冰科技有限公司,玩吧,150-500人,B轮,东城区,大数据开发工程师,3-5年,本科,25k-40k,"七险一金,弹性不打卡,季度旅游,期权激励"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,大数据工程师-微博平台研发,3-5年,本科,15k-30k,团队优秀，待遇优厚，弹性工作
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,大数据研发工程师,3-5年,本科,25k-50k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，扁平管理，过亿用户
北京百乘科技有限公司,百乘金控,500-2000人,上市公司,朝阳区,大数据开发工程师,5-10年,本科,20k-40k,"五险一金,年终奖,餐补,带薪年假"
北京数猎天下科技有限公司,DataHunter,50-150人,A轮,海淀区,资深大数据工程师,5-10年,本科,23k-46k,"五道口,数据可视化,技术大牛,期权奖励"
捷众普惠国际融资租赁有限公司,花生好车,500-2000人,B轮,东城区,大数据工程师,1年以下,本科,15k-30k,"新零售,发展空间大,技术大牛"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,大数据开发工程师,5-10年,本科,20k-35k,"团队氛围好,薪酬待遇佳"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,大数据研发工程师,3-5年,本科,15k-25k,五险一金 补充医疗 年终奖丰厚 上市公司
北京国文互联教育科技有限公司,北京国文互联,15-50人,不需要融资,海淀区,大数据开发工程师,3-5年,大专,10k-15k,"五险一金,交通补助,话补,餐补"
北京厚本科技有限公司,厚本金融,2000人以上,A轮,朝阳区,大数据开发工程师,3-5年,本科,25k-35k,"六险一金,弹性工作制,节假日礼金,竞争力薪酬"
达闼科技（北京）有限公司,达闼科技,150-500人,B轮,朝阳区,AI大数据工程师,不限,本科,15k-25k,"股票期权,弹性工作,带薪年假,五险一金"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,大数据开发工程师,3-5年,本科,25k-50k,"弹性工作制,绩效奖金,扁平化管理,全产业链"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,大数据开发工程师,不限,本科,35k-50k,周末双休
北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,A轮,朝阳区,大数据研发工程师-大数据分析师,3-5年,本科,18k-35k,"团队稳定,周末双休,薪资待遇好"
用友网络科技股份有限公司,用友,2000人以上,上市公司,海淀区,大数据开发工程师,1-3年,本科,15k-20k,"五险一金,周末双休,绩效奖金,住房补贴"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,大数据研发工程师,3-5年,本科,20k-40k,"平台大,技术氛围好"
华风象辑（北京）气象科技有限公司,象辑科技,50-150人,B轮,海淀区,大数据运维工程师,3-5年,本科,15k-25k,"扁平化管理,13薪,福利好,晋升空间大"
人人行科技有限公司,人人行(借贷宝),2000人以上,C轮,朝阳区,大数据运维工程师,3-5年,不限,25k-40k,"弹性工作,精英团队,千万级用户,福利待遇"
神州数码（中国）有限公司,神州数码,2000人以上,上市公司,海淀区,大数据研发工程师,3-5年,本科,12k-20k,五险一金
江苏曲速教育科技有限公司,极课大数据,150-500人,B轮,朝阳区,大数据开发工程师,3-5年,本科,10k-20k,"五险一金,弹性工作,健康体检,14薪"
北京优友动量网络技术有限公司,火萤,15-50人,不需要融资,石景山区,大数据研发工程师,5-10年,本科,35K-70K,"弹性,双休,扁平,额外补助"
网联清算有限公司,网联,150-500人,不需要融资,西城区,大数据开发工程师,3-5年,本科,25k-45k,"扁平化管理,监管性质,行业垄断,BAT成员"
北京捷越联合信息咨询有限公司,北京捷越联合,2000人以上,不需要融资,东城区,大数据开发工程师,5-10年,本科,25k-38k,"发展空间,六险一金,周末双休,地铁周边"
北京航天数据股份有限公司,航天数据,150-500人,不需要融资,海淀区,大数据开发工程师,3-5年,本科,20k-25k,"央企,七险一金,年底双薪,节日福利"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,大数据开发工程师-工程方向,3-5年,本科,20k-40k,"竞争力薪酬,牛人多,发展快,福利好"
北京厚本科技有限公司,厚本金融,2000人以上,A轮,朝阳区,大数据开发工程师,3-5年,不限,20k-40k,"六险一金,节假日礼金,竞争力薪酬"
北京蜜莱坞网络科技有限公司,映客,500-2000人,C轮,朝阳区,大数据资深工程师,5-10年,本科,28k-50k,"技术氛围,上升空间,办公环境,公司前景"
北京思源置地投资有限公司,思源科技,2000人以上,不需要融资,朝阳区,大数据研发工程师,3-5年,本科,15k-25k,"独立办公楼,交通便利"
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,大数据开发工程师,3-5年,本科,25k-50k,"免费三餐,六险一金,核心部门"
北京轻松筹网络科技有限公司,轻松筹,150-500人,C轮,东城区,大数据开发工程师,3-5年,大专,20k-35k,五险一金，弹性工作，年底奖金。
探探科技（北京）有限公司,探探,150-500人,D轮及以上,朝阳区,大数据开发工程师,3-5年,本科,20k-40k,"七险一金,弹性办公,免费三餐,扁平管理"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,大数据开发攻城狮,不限,本科,25k-50k,超大体量数据 行业独角兽 无天花板个人发展
人人行科技有限公司,人人行(借贷宝),2000人以上,C轮,朝阳区,大数据开发工程师,1-3年,不限,15k-30k,"技术驱动,高并发系统,千万级用户,精英团队"
医渡云（北京）技术有限公司,医渡云（北京）技术有限公司,150-500人,B轮,海淀区,大数据研发工程师,3-5年,本科,25k-50k,"七险一金,免费三餐,租房补助,十四薪"
秒针信息技术有限公司,秒针系统,500-2000人,D轮及以上,朝阳区,大数据开发工程师,3-5年,本科,20k-28k,"六险一金,带薪年假,房补餐补,弹性工作"
超对称（北京）科技有限公司,超对称,50-150人,A轮,朝阳区,大数据研发工程师,1-3年,本科,15k-25k,"五险一金,每周运动,零食无限量"
北京数币科技有限公司,数币科技,150-500人,上市公司,海淀区,大数据工程师,3-5年,大专,20k-35k,"五险一金,14薪,旅游,团建"
北京五八到家信息技术有限公司,58到家,2000人以上,A轮,朝阳区,资深大数据工程师,3-5年,本科,15k-30k,行业独角兽、美女多
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,大数据开发工程师,3-5年,本科,20k-35k,"弹性工作,大平台,六险一金,免费三餐"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,大数据开发工程师(J171122029),3-5年,本科,20k-40k,广阔平台、急速成长、诱人福利
析格玛科技（北京）有限公司,析格玛,15-50人,未融资,海淀区,大数据工程师,5-10年,本科,15k-30k,"平台好,福利多,团队建设,氛围好"
北京华夏亨元科技有限公司,LEANIOT,50-150人,不需要融资,朝阳区,大数据工程师 实习生,不限,本科,3k-6k,"弹性工作,氛围好"
北京十月逸栈科技有限公司,生日管家,150-500人,B轮,朝阳区,大数据开发工程师,1-3年,本科,14k-25k,"团队奖金,技术氛围,核心岗位,蓝海行业"
上海拓畅信息技术有限公司北京分公司,省广畅思,50-150人,A轮,朝阳区,大数据运维工程师,3-5年,本科,15k-25k,"公司发展好,平台好,待遇优厚"
北京爱狄特信息科技有限公司,爱狄特,150-500人,不需要融资,丰台区,大数据开发工程师,不限,本科,20k-30k,六险一金+餐补+话补+传统节日福利
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,大数据研发工程师,1-3年,不限,15k-30k,"免费三餐,行业前三"
北京酷云互动科技有限公司,酷云互动,150-500人,C轮,,大数据架构工程师,5-10年,本科,25k-45k,弹性工作 高奖金 六险一金 早午餐 长假期
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,大数据研发工程师（海淀区）,3-5年,本科,15k-25k,技术牛人多、晋升空间大、年底奖金多
北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,海淀区,网页搜索-大数据开发工程师,1-3年,硕士,20k-40k,浓厚的技术氛围，工作成果直接服务亿万网民
成都知道创宇信息技术有限公司,知道创宇,500-2000人,C轮,朝阳区,大数据研发工程师,3-5年,硕士,18k-35k,"团队氛围好,福利待遇优"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,大数据开发工程师,1-3年,本科,10k-20k,"平台稳定,有发展空间"
北京百家互联科技有限公司,跟谁学,500-2000人,A轮,海淀区,大数据工程师,1-3年,本科,15k-25k,"公司食堂,员工宿舍,六险一金,餐补"
北京中发智迅科技发展有限公司,中发智迅,500-2000人,不需要融资,海淀区,大数据研发工程师,3-5年,本科,20k-30k,"海淀黄庄,五险一金,免费午餐,发展好"
北京缤歌网络科技有限公司,缤果盒子,500-2000人,B轮,朝阳区,大数据开发工程师,5-10年,本科,20k-40k,"人工智能,新零售,领导赞,全国交流"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,大数据开发工程师,3-5年,本科,20k-40k,"竞争力薪酬,牛人多,发展快,福利好"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,大数据开发工程师,3-5年,本科,15k-30k,六险一金 技术氛围 晋升空间 发挥空间
新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,大数据开发工程师,1-3年,本科,25k-50k,"平台大,牛人多,免费健身"
普信恒业科技发展（北京）有限公司,宜信,2000人以上,上市公司,朝阳区,大数据开发工程师,3-5年,本科,15k-30k,"公司前景好,交通便利,加班少,优秀团队"
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,高级大数据开发工程师,3-5年,本科,20k-40k,"技术挑战,生日派对,免费午晚餐,精美水果"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,朝阳区,大数据开发工程师,3-5年,本科,20k-30k,"员工福利,每年体检,每年团建,五险一金"
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,海淀区,大数据开发工程师,3-5年,本科,16k-30k,"五险一金,带薪年假,补充商业险,节日福利"
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,大数据工程师,3-5年,本科,15k-30k,良好的技术氛围，扁平化管理，年轻创业团队
北京造数科技有限公司,造数,15-50人,A轮,朝阳区,大数据工程师-网络爬虫方向,1-3年,本科,15k-20k,"技能培训,扁平化管理,股票期权,弹性工作"
北京琥珀创想科技有限公司,琥珀天气,50-150人,A轮,朝阳区,大数据开发工程师,3-5年,本科,25k-50k,"晋升空间,扁平管理,移动互联网"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,大数据开发工程师-growth团队,3-5年,本科,15k-30k,发展空间大，
北京寄云鼎城科技有限公司,寄云科技,50-150人,A轮,海淀区,大数据开发工程师,3-5年,本科,18k-35k,大数据方向，和谐办公气氛
环球恒通（北京）科技有限公司,环球恒通,50-150人,不需要融资,朝阳区,大数据开发工程师,1-3年,本科,18k-25k,"节日福利,定期体检,五险一金,弹性工作"
中诚信征信有限公司,中诚信征信,150-500人,不需要融资,东城区,大数据开发工程师,1-3年,本科,15k-30k,"行业领导者,周五7小时,午餐下午茶,各种俱乐部"
北京猎户星空科技有限公司,猎户星空,150-500人,A轮,朝阳区,大数据开发工程师,3-5年,本科,25k-40k,"人工智能,成长空间,扁平管理"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,数据工程师--大数据&amp;滴滴研究院(J13780),3-5年,本科,15k-30k,与语音界大牛做同事、空间大
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,大数据运维工程师,3-5年,本科,15k-20k,六险一金 年终奖丰厚 上市企业
普信恒业科技发展（北京）有限公司,宜信,2000人以上,上市公司,朝阳区,大数据开发工程师,5-10年,本科,20k-40k,"行业top,成长空间大,六险一金,团队氛围好"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,大数据开发工程师,3-5年,本科,25k-50k,"大平台,核心业务,机器学习,弹性工作"
